English,Spanish
computer,computadora / ordenador
laptop,computadora portátil
desktop computer,computadora de escritorio
screen,pantalla
monitor,monitor
keyboard,teclado
mouse,ratón / mouse
key,tecla / clave (según el contexto)
button,botón
cable,cable
charger,cargador
battery,batería
power,energía / alimentación
device,dispositivo
hardware,hardware / componentes físicos
software,software / programas
program,programa
application / app,aplicación
file,archivo
folder,carpeta
document,documento
page,página
window,ventana
menu,menú
icon,icono
link,enlace
website,sitio web
webpage,página web
browser,navegador
Internet,Internet
network,red
Wi-Fi,wifi / red inalámbrica
password,contraseña
username,nombre de usuario
account,cuenta
login,inicio de sesión
log in,iniciar sesión
log out,cerrar sesión
download,descargar
upload,subir / cargar
save,guardar
open,abrir
close,cerrar
copy,copiar
paste,pegar
cut,cortar
delete,eliminar
select,seleccionar
click,hacer clic
double-click,hacer doble clic
scroll,desplazarse
search,buscar
print,imprimir
install,instalar
update,actualizar
settings,configuración
error,error
message,mensaje
data,datos
information,información
online,en línea / conectado
offline,sin conexión
address,dirección
access,acceso / acceder
cloud,nube
course,curso / asignatura
class,clase
lecture,clase magistral / conferencia
professor,profesor
instructor,instructor
teaching assistant / TA,asistente de enseñanza
office hours,horario de consulta
syllabus,programa de la asignatura
assignment,tarea
homework,tarea
exercise,ejercicio
problem set,conjunto de problemas
project,proyecto
lab,laboratorio / práctica
deadline,fecha límite
submission,entrega
grade,calificación
exam,examen
quiz,prueba corta
midterm,examen parcial
final exam,examen final
textbook,libro de texto
chapter,capítulo
section,sección
example,ejemplo
definition,definición
concept,concepto
theory,teoría
approach,enfoque
solution,solución
requirement,requisito
instruction,instrucción
explain,explicar
describe,describir
define,definir
identify,identificar
determine,determinar
demonstrate,demostrar
illustrate,ilustrar
compare,comparar
contrast,contrastar
analyze,analizar
evaluate,evaluar
calculate,calcular
compute,calcular / computar
derive,derivar / deducir
prove,demostrar
assume,suponer
verify,verificar
justify,justificar
estimate,estimar
implement,implementar
modify,modificar
design,diseñar
develop,desarrollar
test,probar / prueba
debug,depurar
submit,entregar
review,revisar / revisión
prerequisite,prerrequisito
semester,semestre
credit,crédito académico
major,carrera / especialidad principal
minor,especialidad secundaria
undergraduate,estudiante de pregrado
graduate student,estudiante de posgrado
code,código
source code,código fuente
programming,programación
programmer,programador
developer,desarrollador
programming language,lenguaje de programación
command,comando
statement,sentencia / instrucción
line of code,línea de código
variable,variable
value,valor
constant,constante
number,número
integer,número entero
decimal,decimal
float,número de punto flotante
string,cadena de texto
character,carácter
Boolean,booleano
true,verdadero
false,falso
null,nulo / sin valor
input,entrada
output,salida
function,función
parameter,parámetro
argument,argumento
return,devolver
return value,valor de retorno
operator,operador
arithmetic operator,operador aritmético
comparison operator,operador de comparación
assignment operator,operador de asignación
expression,expresión
condition,condición
if statement,sentencia if
else,si no / else
branch,rama
loop,bucle
for loop,bucle for
while loop,bucle while
iteration,iteración
counter,contador
increment,incrementar
decrement,disminuir / decrementar
array,arreglo / matriz
list,lista
index,índice
element,elemento
length,longitud
sequence,secuencia
collection,colección
dictionary,diccionario
value pair,par de valores
set,conjunto
tuple,tupla
object,objeto
method,método
property,propiedad
